param,scenario,simulation,peak_coeff,name,n_groups,size,intro_n,r0,delta,est,lower_ci,upper_ci,bias,is_within_ci,significant_delta,significant_est,successes,trials
Delta,"BASE - Delta: 10, 1/10 ",10,0.8,A,2,50,1,2,0.818181818181818,-1,-1,-1,1.81818181818182,FALSE,TRUE,TRUE,11,12
Delta,"BASE - Delta: 10, 1/10 ",10,0.8,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",10,0.9,A,2,50,1,2,0.818181818181818,-1,-1,-1,1.81818181818182,FALSE,TRUE,TRUE,12,13
Delta,"BASE - Delta: 10, 1/10 ",10,0.9,B,2,50,1,2,-0.818181818181818,1,1,1,-1.81818181818182,FALSE,TRUE,TRUE,,
Delta,"BASE - Delta: 10, 1/10 ",10,1,A,2,50,1,2,0.818181818181818,0.8,0.366034571961835,0.97530294565941,0.0181818181818182,TRUE,TRUE,TRUE,18,20
Delta,"BASE - Delta: 10, 1/10 ",10,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",11,0.7,A,2,50,1,2,0.818181818181818,0,-0.864828027022914,0.864828027022914,0.818181818181818,TRUE,TRUE,FALSE,2,4
Delta,"BASE - Delta: 10, 1/10 ",11,0.7,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",11,0.8,A,2,50,1,2,0.818181818181818,0,-0.864828027022914,0.864828027022914,0.818181818181818,TRUE,TRUE,FALSE,2,4
Delta,"BASE - Delta: 10, 1/10 ",11,0.8,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",11,0.9,A,2,50,1,2,0.818181818181818,0.428571428571429,-0.419158272525315,0.926614867647829,0.38961038961039,TRUE,TRUE,FALSE,5,7
Delta,"BASE - Delta: 10, 1/10 ",11,0.9,B,2,50,1,2,-0.818181818181818,-0.666666666666667,-0.991578510971021,0.28246915799535,-0.151515151515151,TRUE,TRUE,FALSE,1,6
Delta,"BASE - Delta: 10, 1/10 ",11,1,A,2,50,1,2,0.818181818181818,0.5,-0.143716923756378,0.890278710944014,0.318181818181818,TRUE,TRUE,FALSE,9,12
Delta,"BASE - Delta: 10, 1/10 ",11,1,B,2,50,1,2,-0.818181818181818,-0.714285714285714,-0.992779406276199,0.15744639408639,-0.103896103896104,TRUE,TRUE,FALSE,1,7
Delta,"BASE - Delta: 10, 1/10 ",12,0.7,A,2,50,1,2,0.818181818181818,1,0.0814837471201992,1,-0.181818181818182,TRUE,TRUE,TRUE,6,6
Delta,"BASE - Delta: 10, 1/10 ",12,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",12,0.8,A,2,50,1,2,0.818181818181818,1,0.261166704894362,1,-0.181818181818182,TRUE,TRUE,TRUE,8,8
Delta,"BASE - Delta: 10, 1/10 ",12,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",12,0.9,A,2,50,1,2,0.818181818181818,1,0.470703061205898,1,-0.181818181818182,TRUE,TRUE,TRUE,12,12
Delta,"BASE - Delta: 10, 1/10 ",12,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
Delta,"BASE - Delta: 10, 1/10 ",12,1,A,2,50,1,2,0.818181818181818,1,0.629396063724296,1,-0.181818181818182,TRUE,TRUE,TRUE,18,18
Delta,"BASE - Delta: 10, 1/10 ",12,1,B,2,50,1,2,-0.818181818181818,-0.333333333333333,-0.983192482680775,0.811401351899508,-0.484848484848485,TRUE,TRUE,FALSE,1,3
Delta,"BASE - Delta: 10, 1/10 ",13,0.7,A,2,50,1,2,0.818181818181818,1,0.327465766240114,1,-0.181818181818182,TRUE,TRUE,TRUE,9,9
Delta,"BASE - Delta: 10, 1/10 ",13,0.7,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",13,0.8,A,2,50,1,2,0.818181818181818,1,0.470703061205898,1,-0.181818181818182,TRUE,TRUE,TRUE,12,12
Delta,"BASE - Delta: 10, 1/10 ",13,0.8,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",13,0.9,A,2,50,1,2,0.818181818181818,1,0.505894723999058,1,-0.181818181818182,TRUE,TRUE,TRUE,13,13
Delta,"BASE - Delta: 10, 1/10 ",13,0.9,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",13,1,A,2,50,1,2,0.818181818181818,0.8,0.366034571961835,0.97530294565941,0.0181818181818182,TRUE,TRUE,TRUE,18,20
Delta,"BASE - Delta: 10, 1/10 ",13,1,B,2,50,1,2,-0.818181818181818,-0.5,-0.98738107358058,0.611759100633513,-0.318181818181818,TRUE,TRUE,FALSE,1,4
Delta,"BASE - Delta: 10, 1/10 ",14,0.7,A,2,50,1,2,0.818181818181818,1,0.327465766240114,1,-0.181818181818182,TRUE,TRUE,TRUE,9,9
Delta,"BASE - Delta: 10, 1/10 ",14,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.415196452357427,0.181818181818182,TRUE,TRUE,FALSE,0,3
Delta,"BASE - Delta: 10, 1/10 ",14,0.8,A,2,50,1,2,0.818181818181818,1,0.505894723999058,1,-0.181818181818182,TRUE,TRUE,TRUE,13,13
Delta,"BASE - Delta: 10, 1/10 ",14,0.8,B,2,50,1,2,-0.818181818181818,-1,-1,0.415196452357427,0.181818181818182,TRUE,TRUE,FALSE,0,3
Delta,"BASE - Delta: 10, 1/10 ",14,0.9,A,2,50,1,2,0.818181818181818,1,0.505894723999058,1,-0.181818181818182,TRUE,TRUE,TRUE,13,13
Delta,"BASE - Delta: 10, 1/10 ",14,0.9,B,2,50,1,2,-0.818181818181818,-1,-1,0.415196452357427,0.181818181818182,TRUE,TRUE,FALSE,0,3
Delta,"BASE - Delta: 10, 1/10 ",14,1,A,2,50,1,2,0.818181818181818,0.764705882352941,0.271181675797499,0.970841366319395,0.0534759358288771,TRUE,TRUE,TRUE,15,17
Delta,"BASE - Delta: 10, 1/10 ",14,1,B,2,50,1,2,-0.818181818181818,-1,-1,0.415196452357427,0.181818181818182,TRUE,TRUE,FALSE,0,3
Delta,"BASE - Delta: 10, 1/10 ",15,0.7,A,2,50,1,2,0.818181818181818,0.75,-0.0530193417504132,0.993680552937496,0.0681818181818182,TRUE,TRUE,FALSE,7,8
Delta,"BASE - Delta: 10, 1/10 ",15,0.7,B,2,50,1,2,-0.818181818181818,-1,-1,0.95,0.181818181818182,TRUE,TRUE,FALSE,0,1
