name,peak_coeff,est,lower_ci,upper_ci,successes,trials,scenario,simulation
A,1,0.411764705882353,-0.119165437508674,0.79372897125936,12,17,"BASE - Delta: 10, 1/10 ",20
B,1,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",20
A,0.7,1,-0.683772233983162,1,2,2,"BASE - Delta: 10, 1/10 ",21
B,0.7,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",21
A,0.8,1,-0.0436475002099628,1,5,5,"BASE - Delta: 10, 1/10 ",21
B,0.8,-0.5,-0.98738107358058,0.611759100633513,1,4,"BASE - Delta: 10, 1/10 ",21
A,0.9,1,0.383005784362478,1,10,10,"BASE - Delta: 10, 1/10 ",21
B,0.9,-0.6,-0.989898473241064,0.432835872236179,1,5,"BASE - Delta: 10, 1/10 ",21
A,1,1,0.505894723999058,1,13,13,"BASE - Delta: 10, 1/10 ",21
B,1,-0.6,-0.989898473241064,0.432835872236179,1,5,"BASE - Delta: 10, 1/10 ",21
A,0.7,1,-0.204729271232949,1,4,4,"BASE - Delta: 10, 1/10 ",22
B,0.7,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",22
A,0.8,1,0.430171694163691,1,11,11,"BASE - Delta: 10, 1/10 ",22
B,0.8,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",22
A,0.9,1,0.505894723999058,1,13,13,"BASE - Delta: 10, 1/10 ",22
B,0.9,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",22
A,1,0.875,0.395358523130936,0.996837776554468,15,16,"BASE - Delta: 10, 1/10 ",22
B,1,-1,-1,0.415196452357427,0,3,"BASE - Delta: 10, 1/10 ",22
A,0.7,1,0.180767205549993,1,7,7,"BASE - Delta: 10, 1/10 ",23
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",23
A,0.8,1,0.327465766240114,1,9,9,"BASE - Delta: 10, 1/10 ",23
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",23
A,0.9,0.866666666666667,0.361030866843394,0.996627139517295,14,15,"BASE - Delta: 10, 1/10 ",23
B,0.9,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",23
A,1,0.7,0.242146346909372,0.935858125629073,17,20,"BASE - Delta: 10, 1/10 ",23
B,1,-1,-1,0.683772233983162,0,2,"BASE - Delta: 10, 1/10 ",23
A,0.7,0.714285714285714,-0.15744639408639,0.992779406276199,6,7,"BASE - Delta: 10, 1/10 ",24
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",24
A,0.8,0.8,0.109967765943609,0.994942842911076,9,10,"BASE - Delta: 10, 1/10 ",24
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",24
A,0.9,0.733333333333333,0.190794606793256,0.966848173119833,13,15,"BASE - Delta: 10, 1/10 ",24
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",24
A,1,0.84,0.479388315789572,0.980320819962405,23,25,"BASE - Delta: 10, 1/10 ",24
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",24
A,0.7,0.666666666666667,0.0317245026280659,0.958274949079815,10,12,"BASE - Delta: 10, 1/10 ",25
B,0.7,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",25
A,0.8,0.733333333333333,0.190794606793256,0.966848173119833,13,15,"BASE - Delta: 10, 1/10 ",25
B,0.8,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",25
A,0.9,0.684210526315789,0.208430897466652,0.932347501996471,16,19,"BASE - Delta: 10, 1/10 ",25
B,0.9,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",25
A,1,0.714285714285714,0.273152025966038,0.939022064756969,18,21,"BASE - Delta: 10, 1/10 ",25
B,1,-1,-1,0.95,0,1,"BASE - Delta: 10, 1/10 ",25
A,0.7,1,-1,1,9,9,"BASE - Delta: 10, 1/10 ",26
B,0.7,1,1,1,,,"BASE - Delta: 10, 1/10 ",26
